%time,field.header.seq,field.header.stamp,field.header.frame_id,field.bumper,field.cliff,field.sonar,field.illumination,field.led,field.button,field.torque,field.left_encoder,field.right_encoder,field.battery
1587292500045553984,27813,1587292500040426008,,2,116.0,0.0,468.0,0,0,1,6325,4261,11.970000267
1587292500075778150,27814,1587292500082426008,,2,136.0,0.0,510.0,0,0,1,6325,4261,12.0
1587292500118276379,27815,1587292500115426008,,2,81.0,0.0,477.0,0,0,1,6325,4261,11.9799995422
1587292500141193984,27816,1587292500150426008,,2,139.0,0.0,449.0,0,0,1,6325,4261,11.9799995422
1587292500176977421,27817,1587292500183426008,,2,80.0,0.0,423.0,0,0,1,6325,4261,11.9799995422
1587292500221293879,27818,1587292500215426008,,2,135.0,0.0,386.0,0,0,1,6325,4261,11.9799995422
1587292500237198098,27819,1587292500250426008,,2,117.0,0.0,460.0,0,0,1,6325,4261,11.9799995422
1587292500281630286,27820,1587292500285426008,,2,148.0,0.0,500.0,0,0,1,6325,4261,11.9799995422
1587292500310483411,27821,1587292500320426008,,2,118.0,0.0,438.0,0,0,1,6325,4261,11.9799995422
1587292500346051796,27822,1587292500353426008,,2,136.0,0.0,406.0,0,0,1,6325,4261,11.9799995422
1587292500385110181,27823,1587292500385426008,,2,81.0,0.0,386.0,0,0,1,6325,4261,11.970000267
1587292500409052838,27824,1587292500420426008,,2,117.0,0.0,374.0,0,0,1,6325,4261,11.9799995422
1587292500451696483,27825,1587292500453426008,,2,136.0,0.0,395.0,0,0,1,6325,4261,11.970000267
1587292500496499088,27826,1587292500488426008,,2,137.0,0.0,385.0,0,0,1,6325,4261,11.9799995422
1587292500509768463,27827,1587292500519643995,,2,81.0,0.0,404.0,0,0,1,6325,4261,11.9799995422
1587292500552010285,27828,1587292500552643995,,2,137.0,0.0,381.0,0,0,1,6325,4261,11.9799995422
1587292500596997421,27829,1587292500587643995,,2,117.0,0.0,476.0,0,0,1,6325,4261,11.9799995422
1587292500614780077,27830,1587292500622643995,,2,118.0,0.0,425.0,0,0,1,6325,4261,11.9799995422
1587292500657867421,27831,1587292500655643995,,2,137.0,0.0,397.0,0,0,1,6325,4261,11.970000267
1587292500689792525,27832,1587292500701643995,,2,138.0,0.0,392.0,0,0,1,6325,4262,11.9799995422
1587292500735462785,27833,1587292500734643995,,2,116.0,0.0,377.0,0,0,1,6325,4261,11.9799995422
1587292500780354712,27834,1587292500769643995,,2,116.0,0.0,465.0,0,0,1,6325,4261,11.970000267
1587292500793804296,27835,1587292500804643995,,2,136.0,0.0,429.0,0,0,1,6325,4261,11.970000267
1587292500834837785,27836,1587292500837643995,,2,136.0,0.0,391.0,0,0,1,6325,4261,11.9799995422
1587292500879293671,27837,1587292500872643995,,2,141.0,0.0,403.0,0,0,1,6325,4261,11.9799995422
1587292500901913514,27838,1587292500906643995,,2,138.0,0.0,385.0,0,0,1,6325,4261,11.9799995422
1587292500940638983,27839,1587292500939643995,,2,81.0,0.0,462.0,0,0,1,6325,4261,11.9799995422
1587292500981256014,27840,1587292500971643995,,2,80.0,0.0,414.0,0,0,1,6325,4261,11.9799995422
1587292500998350442,27841,1587292501009643995,,2,134.0,0.0,492.0,0,0,1,6325,4261,11.9799995422
1587292501045494973,27842,1587292501042643995,,2,117.0,0.0,430.0,0,0,1,6325,4261,11.9799995422
1587292501090351275,27843,1587292501077643995,,2,131.0,0.0,405.0,0,0,1,6325,4261,11.9799995422
1587292501103877264,27844,1587292501115643995,,2,137.0,0.0,391.0,0,0,1,6325,4261,11.9799995422
1587292501153498254,27845,1587292501150643995,,2,117.0,0.0,472.0,0,0,1,6325,4261,11.9799995422
1587292501189889712,27846,1587292501183643995,,2,136.0,0.0,417.0,0,0,1,6325,4261,11.9799995422
1587292501217290077,27847,1587292501222643995,,2,80.0,0.0,392.0,0,0,1,6325,4261,11.970000267
1587292501258488046,27848,1587292501255643995,,2,81.0,0.0,411.0,0,0,1,6325,4261,11.9799995422
1587292501281206118,27849,1587292501290643995,,2,116.0,0.0,388.0,0,0,1,6325,4261,11.9799995422
1587292501315797577,27850,1587292501323643995,,2,146.0,0.0,379.0,0,0,1,6325,4261,11.9799995422
1587292501358860702,27851,1587292501355643995,,2,117.0,0.0,386.0,0,0,1,6325,4261,11.9799995422
1587292501398686171,27852,1587292501388643995,,2,80.0,0.0,403.0,0,0,1,6325,4261,11.9799995422
1587292501416742264,27853,1587292501422643995,,2,136.0,0.0,415.0,0,0,1,6325,4261,11.9799995422
1587292501461343514,27854,1587292501455643995,,2,132.0,0.0,392.0,0,0,1,6325,4261,11.9799995422
1587292501492145181,27855,1587292501502643995,,2,136.0,0.0,402.0,0,0,1,6325,4261,11.970000267
1587292501532703410,27856,1587292501535643995,,2,135.0,0.0,400.0,0,0,1,6325,4261,11.9799995422
1587292501575907160,27857,1587292501570643995,,2,168.0,0.0,381.0,0,0,1,6325,4261,11.9799995422
1587292501593769035,27858,1587292501604643995,,2,136.0,0.0,409.0,0,0,1,6325,4261,11.9799995422
1587292501633661535,27859,1587292501636643995,,2,137.0,0.0,473.0,0,0,1,6325,4262,11.9799995422
1587292501676160910,27860,1587292501669643995,,2,136.0,0.0,446.0,0,0,1,6325,4261,11.9799995422
1587292501698067785,27861,1587292501706643995,,2,81.0,0.0,410.0,0,0,1,6325,4261,11.9799995422
1587292501740086066,27862,1587292501739643995,,2,136.0,0.0,483.0,0,0,1,6325,4261,11.9799995422
1587292501788967368,27863,1587292501774643995,,2,138.0,0.0,421.0,0,0,1,6325,4261,11.9799995422
1587292501801540389,27864,1587292501811643995,,2,133.0,0.0,400.0,0,0,1,6325,4261,11.9799995422
1587292501846307004,27865,1587292501844643995,,2,80.0,0.0,380.0,0,0,1,6325,4262,11.9799995422
1587292501890224920,27866,1587292501879643995,,2,116.0,0.0,401.0,0,0,1,6325,4261,11.9799995422
1587292501909389868,27867,1587292501914643995,,2,135.0,0.0,382.0,0,0,1,6325,4261,11.9799995422
1587292501952073774,27868,1587292501947643995,,2,136.0,0.0,384.0,0,0,1,6325,4261,11.9799995422
1587292501984206587,27869,1587292501989643995,,2,81.0,0.0,384.0,0,0,1,6325,4261,11.9799995422
1587292502026876118,27870,1587292502022643995,,2,80.0,0.0,371.0,0,0,1,6325,4261,12.0
1587292502049644035,27871,1587292502057643995,,2,80.0,0.0,395.0,0,0,1,6325,4261,12.0
1587292502091205962,27872,1587292502090643995,,2,117.0,0.0,379.0,0,0,1,6325,4261,12.0
1587292502115217889,27873,1587292502124643995,,2,135.0,0.0,376.0,0,0,1,6325,4261,11.9799995422
1587292502155422524,27874,1587292502157643995,,2,137.0,0.0,376.0,0,0,1,6325,4261,11.9799995422
1587292502203907004,27875,1587292502192643995,,2,137.0,0.0,378.0,0,0,1,6325,4262,11.9799995422
1587292502216080493,27876,1587292502227643995,,2,138.0,0.0,461.0,0,0,1,6325,4261,11.9799995422
1587292502263940806,27877,1587292502260643995,,2,136.0,0.0,500.0,0,0,1,6325,4261,11.9799995422
1587292502309729608,27878,1587292502295643995,,2,127.0,0.0,455.0,0,0,1,6325,4261,11.9799995422
1587292502324716326,27879,1587292502332643995,,2,138.0,0.0,413.0,0,0,1,6325,4261,11.9799995422
1587292502367461170,27880,1587292502365643995,,2,137.0,0.0,416.0,0,0,1,6326,4261,11.9799995422
1587292502416030910,27881,1587292502400643995,,2,138.0,0.0,416.0,0,0,1,6326,4261,11.9799995422
1587292502429219608,27882,1587292502436643995,,2,135.0,0.0,481.0,0,0,1,6325,4261,11.970000267
1587292502472145389,27883,1587292502469643995,,2,137.0,0.0,511.0,0,0,1,6325,4261,11.9799995422
1587292502524832628,27884,1587292502504643995,,2,137.0,0.0,443.0,0,0,1,6325,4261,12.0
1587292502536107368,27885,1587292502538643995,,2,136.0,0.0,408.0,0,0,1,6325,4261,11.970000267
1587292502582973826,27886,1587292502573643995,,2,125.0,0.0,397.0,0,0,1,6325,4261,11.9799995422
1587292502617851691,27887,1587292502606643995,,2,153.0,0.0,377.0,0,0,1,6325,4261,11.9799995422
1587292502633951951,27888,1587292502645643995,,2,138.0,0.0,382.0,0,0,1,6325,4261,11.9799995422
1587292502676181691,27889,1587292502678643995,,2,135.0,0.0,380.0,0,0,1,6325,4261,11.9799995422
1587292502720285910,27890,1587292502713643995,,2,116.0,0.0,411.0,0,0,1,6325,4261,11.9799995422
1587292502739264608,27891,1587292502746643995,,2,117.0,0.0,418.0,0,0,1,6325,4261,11.9799995422
1587292502779340649,27892,1587292502781643995,,2,136.0,0.0,421.0,0,0,1,6325,4261,11.9799995422
1587292502817257628,27893,1587292502814643995,,2,138.0,0.0,478.0,0,0,1,6325,4261,11.9799995422
1587292502839677576,27894,1587292502850643995,,2,117.0,0.0,423.0,0,0,1,6326,4261,11.9799995422
